schemaVersion,recordType,source_name,source_url,title,content_text,published_date,collectedAt
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/15/salesforce-and-nvidias-new-reasoning-model-is-everything-the-ai-labs-should-fear/,Salesforce and Nvidia’s new reasoning model is everything the AI labs should fear,"Salesforce Koa is built on Nvidia's open-weight Nemotron model and is trained to do sales, marketing and customer-support tasks.",2026-09-15T12:00:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/jensen-huang-took-a-call-from-trump-and-showed-off-something-else-too/,"Jensen Huang took a call from Trump, and showed off something else, too","When Jensen Huang took a live call from Trump, some of us were more focused the phone he used to take it.",2026-09-15T01:50:48+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/nvidia-ceo-jensen-huang-tells-trump-were-not-going-to-let-an-ai-slowdown-happen/,Nvidia CEO Jensen Huang tells Trump ‘we’re not going to let [an AI slowdown] happen’,"Though Elon Musk and Sam Altman have supported Dario Amodei's calls to slow the pace of AI development, Jensen Huang seems to feel differently.",2026-09-14T21:51:02+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/openai-buys-smartphone-camera-maker-glass-imaging-for-300-million-report-says/,"OpenAI buys smartphone camera maker Glass Imaging for $300 million, report says",Glass Imaging was founded by a pair of former Apple engineers who previously led the team that developed Apple's Portrait Mode.,2026-09-14T20:44:14+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/with-ios-27-im-actually-using-siri-again/,"With iOS 27, I’m actually using Siri again","Apple’s long-delayed Siri overhaul is finally here with iOS 27, and it changes how useful the assistant feels day to day.",2026-09-14T17:10:30+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/fashion-discovery-app-daydream-uses-apple-intelligence-to-help-you-shop-the-outfits-saved-in-your-camera-roll/,Fashion app Daydream uses Apple Intelligence to help you shop the outfits in your camera roll,"Thanks to the launch of iOS 27, Daydream's app now includes features that can turn saved outfit photos into shoppable results and search for products through Siri without opening the app.",2026-09-14T17:00:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/microsofts-new-ai-code-of-conduct-tells-models-not-to-hack-systems-or-trick-humans/,Microsoft’s new AI ‘code of conduct’ tells models not to hack systems or trick humans,"The code of conduct lays out general principles that Microsoft AI models should uphold — supporting humans rather than replacing them, for instance, and accelerating human flourishing — as well as specific safety constraints meant to implement those principles.",2026-09-14T16:27:53+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/only-at-techcrunch-disrupt-2026-what-happens-when-openai-ships-your-roadmap/,Only at TechCrunch Disrupt 2026: What happens when OpenAI ships your roadmap?,"If you're building an AI company, the question isn't whether foundation models will continue to evolve. It's whether your company will continue creating value as they do. Don't miss this interactive session on the Builders Stage at TechCrunch Disrupt 2026.",2026-09-14T15:00:00+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/superhuman-acquires-yc-backed-notetaker-fathom-as-productivity-platforms-push-for-agentic-work/,Superhuman acquires YC-backed notetaker Fathom as productivity platforms push for agentic work,"The notetaker offers a generous free plan, and that has resulted in over 400,000 monthly active users. The company said that over 1 million people have recorded meetings until now.",2026-09-14T14:45:44+00:00,2026-09-15T12:49:20.054244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/14/hear-how-ai-can-engineer-natures-comeback-at-techcrunch-disrupt-2026/,Hear how AI can engineer nature’s comeback at TechCrunch Disrupt 2026,"Not long ago, bringing an extinct species back to life belonged to science fiction. Today, it's the mission of a billion-dollar startup. Join the conversation with one of tech's most unconventional founders. Secure your Disrupt pass today.",2026-09-14T14:30:00+00:00,2026-09-15T12:49:20.054244+00:00
