schemaVersion,recordType,startupName,pricingModel,source_name,source_url,collectedAt
1.0,PRODUCT,scrip-ai,FREE,AI-Tools-List (github),https://scripai.com,2026-09-15T12:11:35.237420Z
1.0,PRODUCT,quickads,PAID,AI-Tools-List (github),https://www.quickads.ai/,2026-09-15T12:11:35.044964Z
1.0,PRODUCT,wonderchat,FREEMIUM,AI-Tools-List (github),https://wonderchat.io,2026-09-15T12:11:35.284107Z
1.0,PRODUCT,creatosaurus,FREEMIUM,AI-Tools-List (github),https://www.creatosaurus.io,2026-09-15T12:11:35.455812Z
1.0,PRODUCT,blobr,PAID,AI-Tools-List (github),https://blobr.io,2026-09-15T12:11:35.196004Z
1.0,PRODUCT,pencil,PAID,AI-Tools-List (github),https://trypencil.com,2026-09-15T12:11:35.312904Z
1.0,PRODUCT,freeadcopy-com,FREE,AI-Tools-List (github),https://freeadcopy.com,2026-09-15T12:11:35.619462Z
1.0,PRODUCT,marpipe-com,PAID,AI-Tools-List (github),https://www.marpipe.com/schedule-ec,2026-09-15T12:11:35.485277Z
1.0,PRODUCT,omneky,PAID,AI-Tools-List (github),https://www.omneky.com,2026-09-15T12:11:35.319642Z
1.0,PRODUCT,kilo-ai,FREE,AI-Tools-List (github),https://kilocode.ai,2026-09-15T12:11:35.603559Z
1.0,PRODUCT,30characters,PAID,AI-Tools-List (github),https://30chars.com,2026-09-15T12:11:35.750977Z
1.0,PRODUCT,adbot-your-search-ads-specialist,FREEMIUM,AI-Tools-List (github),https://myadbot.com,2026-09-15T12:11:35.692386Z
1.0,PRODUCT,copycop,PAID,AI-Tools-List (github),https://copycopai.com,2026-09-15T12:11:35.772817Z
1.0,PRODUCT,adinspiration,PAID,AI-Tools-List (github),https://adinspiration.com,2026-09-15T12:11:35.855318Z
1.0,PRODUCT,engagexai,PAID,AI-Tools-List (github),https://engagexai.com/,2026-09-15T12:11:36.485174Z
1.0,PRODUCT,ai-suggests,PAID,AI-Tools-List (github),https://ai-suggests.com/,2026-09-15T12:11:36.383320Z
1.0,PRODUCT,adcopy-ai,PAID,AI-Tools-List (github),https://adcopy.ai,2026-09-15T12:11:36.769482Z
1.0,PRODUCT,creative-score,PAID,AI-Tools-List (github),https://creativescore.ai,2026-09-15T12:11:36.716074Z
1.0,PRODUCT,write-conch-ai,FREEMIUM,AI-Tools-List (github),https://www.writeconch.ai,2026-09-15T12:11:36.851164Z
1.0,PRODUCT,copyflow-pro,PAID,AI-Tools-List (github),https://www.copyflowpro.com,2026-09-15T12:11:36.889054Z
1.0,PRODUCT,ogilvy,FREEMIUM,AI-Tools-List (github),https://ogilvyapp.com,2026-09-15T12:11:36.699838Z
1.0,PRODUCT,salesboosta-com,FREEMIUM,AI-Tools-List (github),https://salesboosta.com,2026-09-15T12:11:37.068068Z
1.0,PRODUCT,ezra-ads,PAID,AI-Tools-List (github),https://www.heyezra.co,2026-09-15T12:11:37.101123Z
1.0,PRODUCT,ecomadpro,PAID,AI-Tools-List (github),https://Ecomadpro.com,2026-09-15T12:11:37.226887Z
1.0,PRODUCT,pixcanva,FREE,AI-Tools-List (github),https://www.pixcanva.com,2026-09-15T12:11:38.316699Z
1.0,PRODUCT,copywritergpt-io,FREEMIUM,AI-Tools-List (github),https://www.copywritergpt.io,2026-09-15T12:11:38.302988Z
1.0,PRODUCT,azameo-fr,PAID,AI-Tools-List (github),https://azameo.fr,2026-09-15T12:11:38.383712Z
1.0,PRODUCT,wordcopyai,PAID,AI-Tools-List (github),https://www.wordcopyai.com,2026-09-15T12:11:38.151179Z
1.0,PRODUCT,adgeneratorpro,PAID,AI-Tools-List (github),https://adgenerator.pro,2026-09-15T12:11:38.239169Z
