schemaVersion,recordType,entityName,employeeCount,source_name,source_url,collectedAt
1.0,STARTUP,LeadGenius,50.0,ycombinator.com,https://www.ycombinator.com/companies/leadgenius,2026-09-15T09:53:24.529550Z
1.0,STARTUP,Teevox,11.0,ycombinator.com,https://www.ycombinator.com/companies/teevox,2026-09-15T09:53:24.529944Z
1.0,STARTUP,Directed Edge,2.0,ycombinator.com,https://www.ycombinator.com/companies/directed-edge,2026-09-15T09:53:24.529963Z
1.0,STARTUP,Olark,15.0,ycombinator.com,https://www.ycombinator.com/companies/olark,2026-09-15T09:53:24.529978Z
1.0,STARTUP,JustSpotted,2.0,ycombinator.com,https://www.ycombinator.com/companies/justspotted,2026-09-15T09:53:24.529991Z
1.0,STARTUP,Scribd,300.0,ycombinator.com,https://www.ycombinator.com/companies/scribd,2026-09-15T09:53:24.530000Z
1.0,STARTUP,Canopy Labs,11.0,ycombinator.com,https://www.ycombinator.com/companies/canopy-labs,2026-09-15T09:53:24.530015Z
1.0,STARTUP,Plivo,320.0,ycombinator.com,https://www.ycombinator.com/companies/plivo,2026-09-15T09:53:24.530021Z
1.0,STARTUP,RADAR,120.0,ycombinator.com,https://www.ycombinator.com/companies/radar,2026-09-15T09:53:24.530027Z
1.0,STARTUP,Semantics3,25.0,ycombinator.com,https://www.ycombinator.com/companies/semantics3,2026-09-15T09:53:24.530033Z
1.0,STARTUP,Casetext,50.0,ycombinator.com,https://www.ycombinator.com/companies/casetext,2026-09-15T09:53:24.530039Z
1.0,STARTUP,CareMessage,45.0,ycombinator.com,https://www.ycombinator.com/companies/caremessage,2026-09-15T09:53:24.530045Z
1.0,STARTUP,Cruise,3000.0,ycombinator.com,https://www.ycombinator.com/companies/cruise,2026-09-15T09:53:24.530050Z
1.0,STARTUP,MixerBox,30.0,ycombinator.com,https://www.ycombinator.com/companies/mixerbox,2026-09-15T09:53:24.530060Z
1.0,STARTUP,OpenCurriculum,,ycombinator.com,https://www.ycombinator.com/companies/opencurriculum,2026-09-15T09:53:24.530069Z
1.0,STARTUP,Checkr,800.0,ycombinator.com,https://www.ycombinator.com/companies/checkr,2026-09-15T09:53:24.530075Z
1.0,STARTUP,Neptune.io,11.0,ycombinator.com,https://www.ycombinator.com/companies/neptune-io,2026-09-15T09:53:24.530083Z
1.0,STARTUP,SalesSift,2.0,ycombinator.com,https://www.ycombinator.com/companies/salessift,2026-09-15T09:53:24.530090Z
1.0,STARTUP,Weave,11.0,ycombinator.com,https://www.ycombinator.com/companies/weave-2,2026-09-15T09:53:24.530095Z
1.0,STARTUP,Qventus,230.0,ycombinator.com,https://www.ycombinator.com/companies/qventus,2026-09-15T09:53:24.530101Z
1.0,STARTUP,20n,2.0,ycombinator.com,https://www.ycombinator.com/companies/20n,2026-09-15T09:53:24.530106Z
1.0,STARTUP,Akido Labs,1000.0,ycombinator.com,https://www.ycombinator.com/companies/akido-labs,2026-09-15T09:53:24.530112Z
1.0,STARTUP,Magic,350.0,ycombinator.com,https://www.ycombinator.com/companies/magic,2026-09-15T09:53:24.530120Z
1.0,STARTUP,Numerion Labs,67.0,ycombinator.com,https://www.ycombinator.com/companies/numerion-labs,2026-09-15T09:53:24.530126Z
1.0,STARTUP,Zeitview,200.0,ycombinator.com,https://www.ycombinator.com/companies/zeitview,2026-09-15T09:53:24.530131Z
1.0,STARTUP,Platzi,123.0,ycombinator.com,https://www.ycombinator.com/companies/platzi,2026-09-15T09:53:24.530137Z
1.0,STARTUP,Paperspace,50.0,ycombinator.com,https://www.ycombinator.com/companies/paperspace,2026-09-15T09:53:24.530143Z
1.0,STARTUP,Smarking,17.0,ycombinator.com,https://www.ycombinator.com/companies/smarking,2026-09-15T09:53:24.530148Z
1.0,STARTUP,Resolve,10.0,ycombinator.com,https://www.ycombinator.com/companies/resolve,2026-09-15T09:53:24.530154Z
1.0,STARTUP,Yhat,17.0,ycombinator.com,https://www.ycombinator.com/companies/yhat,2026-09-15T09:53:24.530162Z
1.0,STARTUP,Dabble,3.0,ycombinator.com,https://www.ycombinator.com/companies/dabble,2026-09-15T09:53:24.530171Z
1.0,STARTUP,SigOpt,23.0,ycombinator.com,https://www.ycombinator.com/companies/sigopt,2026-09-15T09:53:24.530177Z
